,Country Name,Country Code,Indicator Name,Indicator Code,Year,Population
30,Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
31,Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
32,Central African Republic,CAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
33,Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
34,Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
35,Switzerland,CHE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
36,Channel Islands,CHI,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
37,Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
38,China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
39,Cote d'Ivoire,CIV,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
40,Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
41,"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
42,"Congo, Rep.",COG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
43,Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
44,Comoros,COM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
45,Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
46,Costa Rica,CRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
47,Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
48,Cuba,CUB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
49,Curacao,CUW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
50,Cayman Islands,CYM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
51,Cyprus,CYP,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
52,Czech Republic,CZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
53,Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
54,Djibouti,DJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
55,Dominica,DMA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
56,Denmark,DNK,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
57,Dominican Republic,DOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
58,Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
59,East Asia & Pacific (excluding high income),EAP,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
60,Early-demographic dividend,EAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
61,East Asia & Pacific,EAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
62,Europe & Central Asia (excluding high income),ECA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
63,Europe & Central Asia,ECS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
64,Ecuador,ECU,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
65,"Egypt, Arab Rep.",EGY,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
66,Euro area,EMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
67,Eritrea,ERI,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
68,Spain,ESP,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
69,Estonia,EST,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
70,Ethiopia,ETH,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
71,European Union,EUU,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
72,Fragile and conflict affected situations,FCS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
73,Finland,FIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
74,Fiji,FJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
75,France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
76,Faroe Islands,FRO,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
77,"Micronesia, Fed. Sts.",FSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
78,Gabon,GAB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
79,United Kingdom,GBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
80,Georgia,GEO,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
81,Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
82,Gibraltar,GIB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
83,Guinea,GIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
84,"Gambia, The",GMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
85,Guinea-Bissau,GNB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
86,Equatorial Guinea,GNQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
87,Greece,GRC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
88,Grenada,GRD,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
89,Greenland,GRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
90,Guatemala,GTM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
91,Guam,GUM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
92,Guyana,GUY,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
93,High income,HIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
94,"Hong Kong SAR, China",HKG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
95,Honduras,HND,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
96,Heavily indebted poor countries (HIPC),HPC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
97,Croatia,HRV,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
98,Haiti,HTI,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
99,Hungary,HUN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
100,IBRD only,IBD,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
101,IDA & IBRD total,IBT,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
102,IDA total,IDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
103,IDA blend,IDB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
104,Indonesia,IDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
105,IDA only,IDX,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
106,Isle of Man,IMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
107,India,IND,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
108,Not classified,INX,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
109,Ireland,IRL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
110,"Iran, Islamic Rep.",IRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
111,Iraq,IRQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
112,Iceland,ISL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
113,Israel,ISR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
114,Italy,ITA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
115,Jamaica,JAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
116,Jordan,JOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
117,Japan,JPN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
118,Kazakhstan,KAZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
119,Kenya,KEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
120,Kyrgyz Republic,KGZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
121,Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
122,Kiribati,KIR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
123,St. Kitts and Nevis,KNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
124,"Korea, Rep.",KOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
125,Kuwait,KWT,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
126,Latin America & Caribbean (excluding high income),LAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
127,Lao PDR,LAO,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
128,Lebanon,LBN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
129,Liberia,LBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
130,Libya,LBY,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
131,St. Lucia,LCA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
132,Latin America & Caribbean,LCN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
133,Least developed countries: UN classification,LDC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
134,Low income,LIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
135,Liechtenstein,LIE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
136,Sri Lanka,LKA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
137,Lower middle income,LMC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
138,Low & middle income,LMY,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
139,Lesotho,LSO,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
140,Late-demographic dividend,LTE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
141,Lithuania,LTU,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
142,Luxembourg,LUX,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
143,Latvia,LVA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
144,"Macao SAR, China",MAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
145,St. Martin (French part),MAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
146,Morocco,MAR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
147,Monaco,MCO,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
148,Moldova,MDA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
149,Madagascar,MDG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
150,Maldives,MDV,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
151,Middle East & North Africa,MEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
152,Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
153,Marshall Islands,MHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
154,Middle income,MIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
155,"Macedonia, FYR",MKD,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
156,Mali,MLI,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
157,Malta,MLT,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
158,Myanmar,MMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
159,Middle East & North Africa (excluding high income),MNA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
160,Montenegro,MNE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
161,Mongolia,MNG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
162,Northern Mariana Islands,MNP,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
163,Mozambique,MOZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
164,Mauritania,MRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
165,Mauritius,MUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
166,Malawi,MWI,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
167,Malaysia,MYS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
168,North America,NAC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
169,Namibia,NAM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
170,New Caledonia,NCL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
171,Niger,NER,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
172,Nigeria,NGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
173,Nicaragua,NIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
174,Netherlands,NLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
175,Norway,NOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
176,Nepal,NPL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
177,Nauru,NRU,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
178,New Zealand,NZL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
179,OECD members,OED,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
180,Oman,OMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
181,Other small states,OSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
182,Pakistan,PAK,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
183,Panama,PAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
184,Peru,PER,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
185,Philippines,PHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
186,Palau,PLW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
187,Papua New Guinea,PNG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
188,Poland,POL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
189,Pre-demographic dividend,PRE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
190,Puerto Rico,PRI,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
191,"Korea, Dem. People’s Rep.",PRK,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
192,Portugal,PRT,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
193,Paraguay,PRY,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
194,West Bank and Gaza,PSE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
195,Pacific island small states,PSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
196,Post-demographic dividend,PST,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
197,French Polynesia,PYF,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
198,Qatar,QAT,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
199,Romania,ROU,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
200,Russian Federation,RUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
201,Rwanda,RWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
202,South Asia,SAS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
203,Saudi Arabia,SAU,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
204,Sudan,SDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
205,Senegal,SEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
206,Singapore,SGP,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
207,Solomon Islands,SLB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
208,Sierra Leone,SLE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
209,El Salvador,SLV,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
210,San Marino,SMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
211,Somalia,SOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
212,Serbia,SRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
213,Sub-Saharan Africa (excluding high income),SSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
214,South Sudan,SSD,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
215,Sub-Saharan Africa,SSF,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
216,Small states,SST,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
217,Sao Tome and Principe,STP,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
218,Suriname,SUR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
219,Slovak Republic,SVK,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
220,Slovenia,SVN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
221,Sweden,SWE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
222,Swaziland,SWZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
223,Sint Maarten (Dutch part),SXM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
224,Seychelles,SYC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
225,Syrian Arab Republic,SYR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
226,Turks and Caicos Islands,TCA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
227,Chad,TCD,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
228,East Asia & Pacific (IDA & IBRD countries),TEA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
229,Europe & Central Asia (IDA & IBRD countries),TEC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
230,Togo,TGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
231,Thailand,THA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
232,Tajikistan,TJK,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
233,Turkmenistan,TKM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
235,Timor-Leste,TLS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
236,Middle East & North Africa (IDA & IBRD countries),TMN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
237,Tonga,TON,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
238,South Asia (IDA & IBRD),TSA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
239,Sub-Saharan Africa (IDA & IBRD countries),TSS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
240,Trinidad and Tobago,TTO,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
241,Tunisia,TUN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
242,Turkey,TUR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
243,Tuvalu,TUV,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
244,Tanzania,TZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
245,Uganda,UGA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
246,Ukraine,UKR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
247,Upper middle income,UMC,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
248,Uruguay,URY,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
249,United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
250,Uzbekistan,UZB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
251,St. Vincent and the Grenadines,VCT,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
252,"Venezuela, RB",VEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
253,British Virgin Islands,VGB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
254,Virgin Islands (U.S.),VIR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
255,Vietnam,VNM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
256,Vanuatu,VUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
257,World,WLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
258,Samoa,WSM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
259,Kosovo,XKX,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
260,"Yemen, Rep.",YEM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
261,South Africa,ZAF,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
262,Zambia,ZMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
263,Zimbabwe,ZWE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
264,Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
265,Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
266,Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
267,Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
268,Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
269,Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
270,United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
271,Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
272,Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
273,American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
274,Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
275,Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
276,Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
277,Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
278,Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
279,Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
280,Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
281,Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
282,Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
283,Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
284,Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
285,"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
286,Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
287,Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
288,Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
289,Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
290,Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
291,Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
292,Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
293,Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
294,Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
295,Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
